Maori,English
wahine ,"woman, wife"
wāhine ,"women, wives (plural form of wahine)"
waho,"out, outside, the outside"
Wai?,who?
wai,water
wai,juice
waiariki,hot spring
waiata,to sing
,song
waihanga,"to make, build something"
waiho,to leave something somewhere
waiho,"to remain, rest"
waimarie,"lucky, fortunate; luck, good fortune"
wairua,spirit
waka,canoe
waka,car
waka,"vehicle (land, air and sea)"
wānanga,"place of learning, as in: whare wānanga"
wao,forest
wareware,to forget; forgetful
waru,eight
waru,"to scrape, to peel"
wātea,"to be clear, unoccupied, free of obstruction"
wawata,"to long for, yearn for"
wawe,"early, soon, quickly"
wehe ,"to separate, divide"
wehenga,"departure, leaving"
,wehe + nominal suffix -nga
wehenga,"part, division, separation"
,wehe + nominal suffix -nga
wehi,to be afraid
wehi,terrible
weka,"weka, a native woodhen"
wera,"to burn; burnt; hot, heat"
wero,to pierce
wero,to challenge; formal challenge at a welcome ceremony
whā,four
whaea,"mother, aunt"
whai,"to follow, to chase"
whāia,whai + passive suffix -a (note lengthening of first vowel)
whāinga,"objective, aim, purpose"
,whai + nominal suffix -nga (note first vowel lengthens)
whāiti,"narrow, crowded together"
whakaae,to agree
whakaahua,to take photos; photograph
whakaari,"to display, to exhibit "
whakaari,"play, drama, performance"
whakaaro,to think; thought
whakaata,"to display, show"
whakaata,mirror
whakaatu,"to display, show, demonstrate"
whakaaturanga ,display
,whakaatu + nominal suffix -ranga
whakaaturanga ,television programme
,whakaatu + nominal suffix -ranga
whakahaere,"to run something, manage, make something go "
whakahau,"to command, order"
whakahau,to encourage
whakaheke,"to decrease, drop, lower"
whakahīhī,arrogant
whakahirahira,"great, magnificent, wonderful, very important"
whakahoki,"to return, to reply"
whakahokia,whakahoki + passive suffix -a
whakairo,"to carve, a carving"
whakakī,to fill something
whakamā,"to be embarrassed, ashamed"
whakamahi,"to operate, to make something work"
whakamahi,"to put someone to work, to make someone work"
whakamahia,whakamahi + passive suffix -a
whakamāori,to translate into Māori
whakamārama,to explain
whakamātau,"to test, examine"
whakamātautau,"examination, test"
whakamau,to put on
whakamau,"to fix, fasten"
whakamaua,whakamau + passive suffix -a
whakamīharo,"amazing, astonishing"
whakamua,"frontward, towards the front"
whakamuri,towards the back
whakamutunga,"ending, conclusion"
,whakamutu + nominal suffix -nga
whakangā,to rest
whakangahau,"to entertain, to amuse"
whakanui,"to honour, to praise"
whakanui,to enlarge
whakaora,"to rescue, to cure"
whakapae,"lying crosswise, horizontal"
whakapai,"to improve, to fix up"
whakapaipai,"to decorate, to adorn"
whakapakari,to strengthen
whakapapa,genealogy
whakapiri,"to cling to, stick to"
whakapono,to believe; faith
whakaputa,to produce
whakaputa,"to reveal, to publish"
whakaputa,"to make something come out, to appear"
whakararo,downwards
whakarite,to prepare
whakarite,"to arrange, to put in order"
whakarite,to compare
whakaritea,whakarite + passive suffix -a
whakarongo,to listen
whakarunga,upwards
whakatā,to rest
whakataetae,competition
whakatakoto,to lay something down
whakatata,to come closer to
whakatau,to decide
whakatika ,"to straighten, to correct, to fix"
whakatikatika,"to rearrange, to put in order, to fix"
whakatipu,to raise
whakatoi,to give cheek
whakatū,"to establish, to put someone or something in position"
whakatū,to stand something up
whakatūpato,"to warn, to caution"
whakatūria,whakatū + passive suffix -ria
whakauru,"to enter, to join, to enrol"
whakautu,"to reply, to respond"
whakawhiti,to cross
whāki,"to reveal, to disclose, to confess"
whānau ,family
whānau ,to be born / be born
whanaunga,"relative, relation"
,whānau + nominal suffix -nga (note the short first vowel)
whanga,bay
whanga,to wait
whāngai,"to feed, to foster"
whānui,"broad, wide"
whara,to be injured
whārangi,page
whare,"house, building"
wharekura,Māori-medium secondary school
whāriki,"mat, carpet, rug"
whatu,eye
whatu,stone
whatu,"to weave, knit"
whāwhā,"to fiddle with, to touch"
whawhai,to fight; a battle
whea ,where? (variant of hea)
whenua,land
whero,red
whetū,star
whiti,to cross
whitu,seven
whiu,"to throw, to fling"
whiu,to whip
whiu,to be satisfied
whiua,whiu + passive suffix -a
whiwhi,"to get, to acquire, to win"
whiwhi,to be in possession of
whutupōro,"football, rugby"
wiki,week
wīra,wheel
wiriwiri,"to tremble, to shake, to quiver"
